O,D,trips_modelled
38799,1503009,0.0817760370753696
38799,1503044,0.06719157799286381
38799,1503096,0.10343818049336351
38799,1503233,0.009455396018928705
38799,1503251,0.13458013331682436
38799,1503263,0.0447077697903632
38799,1503275,0.02177188583922387
38799,1503286,0.06534585250270836
38799,1503325,0.23174800968467324
38799,1503348,0.06711687068204938
38799,1503350,0.11183132717568224
38799,1503404,0.015436110882732222
38799,1503423,0.013603889298853927
38799,1503432,0.1075143287116565
38799,1503436,0.4583625620645661
38799,1503471,0.034156418070832785
38799,1503482,0.0499230519370495
38799,1503510,0.1789523826620909
38799,1503575,0.12037889094543855
38799,1503604,0.21478647081995642
38799,1503607,0.08966380706893591
38799,1503611,0.04260195982442483
38799,1503636,0.04595910625355393
38799,1503645,0.019928918372335052
38799,1503674,0.45539052035110694
38799,1503676,0.3293280624715395
38799,1503820,0.0964349621474895
38799,1503857,0.4748513248266614
38799,1503910,0.051770798592272696
40276,1503001,0.3873245465549312
40276,1503044,1.012951772043804
40276,1503096,0.37967377052848217
40276,1503206,0.07620736668344746
40276,1503325,1.8571302849955469
40276,1503471,0.08054012823081193
40276,1503590,0.48073979926626165
40276,1503638,0.6004073029617788
40276,1503645,0.15661240782486416
40276,1503723,0.4990964013637086
40276,1503836,1.8012828075911471
40276,1503964,1.0696526006902536
40276,1503986,0.14834435809000848
40277,1503044,0.2103777885157305
40277,1503325,0.37966503441929905
40277,1503590,0.3313332653206359
40277,1503638,0.36355715467967115
40277,1503645,0.03230705659860536
40277,1503723,0.2847970192555337
40277,1503836,1.5924418414554375
40277,1503964,0.9950226293868456
40277,1503986,0.19529974688310872
40278,1503009,0.1254316211752132
40278,1503074,0.06375081623380378
40278,1503251,0.3346731259719421
40278,1503263,0.07004497762863383
40278,1503348,0.06857516872070979
40278,1503350,0.23255955692154437
40278,1503404,0.0043534012426222155
40278,1503423,0.01547396942071239
40278,1503432,0.15816645678794758
40278,1503436,0.12980352244543594
40278,1503482,0.1241544917244006
40278,1503510,0.7385629234788182
40278,1503575,0.38478004091362356
40278,1503604,0.5427262487914241
40278,1503611,0.05873511811074193
40278,1503674,0.1687585205480828
40278,1503676,0.3978421358542849
40278,1503820,0.2087152917888918
40278,1503857,0.21437666517548534
